index,device_name,dstlat,dstlong,name
104,TS-SANJOSE-DC2,25.6680567,-100.3513618,Hospital San Jose
105,TS-SANJOSE-P1,25.6680567,-100.3513618,Hospital San Jose
106,TS-SANJOSE-P2,25.6680567,-100.3513618,Hospital San Jose
107,TS-ZAMBRANO-DC1,25.647037,-100.334027,Hospital Zambrano
108,TS-ZAMBRANO-DC2,25.647037,-100.334027,Hospital Zambrano
109,TS-ZAMBRANO-P1,25.647037,-100.334027,Hospital Zambrano
110,TS-ZAMBRANO-P2,25.647037,-100.334027,Hospital Zambrano
111,UTM-FW-IPSEC,25.7269361,-100.3023082,Alestra
112,UTM-FW-MPLS,25.7269361,-100.3023082,Alestra
113,UTM-NLR,27.4212731,-99.5163687,Nuevo Laredo
114,PA-NUEVOSUR-1,25.6531861,-100.2753983,Nuevo Sur
115,PA-NUEVOSUR-2,25.6531861,-100.2753983,Nuevo Sur
116,UTM-RYN,26.0409804,-98.4198179,Reynosa
117,UTM-FW-SAP,25.7269361,-100.3023082,Alestra
124,UTM-ZAP,20.7356396,-103.3720598,Zapopan
118,prod451azap01,29.424601,-98.49514,Azure South Central US
119,prod451azap02,29.424601,-98.49514,Azure South Central US
120,prod454azap01,29.424601,-98.49514,Azure South Central US
121,prod454azap02,29.424601,-98.49514,Azure South Central US
122,prod452azap01,29.424601,-98.49514,Azure South Central US
123,prod452azap02,29.424601,-98.49514,Azure South Central US
125,prod500azap01,29.424601,-98.49514,Azure South Central US
126,prod500azap02,29.424601,-98.49514,Azure South Central US
127,Sorteosprod451azap01,29.424601,-98.49514,Azure South Central US
128,Sorteosprod451azap02,29.424601,-98.49514,Azure South Central US
129,UTMprod454azap01,29.424601,-98.49514,Azure South Central US
130,UTMprod454azap02,29.424601,-98.49514,Azure South Central US
131,TSprod452azap01,29.424601,-98.49514,Azure South Central US
132,TSprod452azap02,29.424601,-98.49514,Azure South Central US
